time/time_elapsed,time/iterations,time/total_timesteps,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,train/explained_variance,train/n_updates,train/policy_gradient_loss,train/loss,train/approx_kl,train/value_loss,train/entropy_loss,train/std,train/learning_rate,train/clip_range,train/clip_fraction
806,40,327680,367.82,406,156.95162863999997,0.8762319684028625,390,-0.04298868049809244,11.87122631072998,0.016969543,22.465341797471048,-17.384246897697448,1.0307817459106445,0.0003,0.2,0.2132080078125
818,41,335872,409.45,410,179.13516475,0.8348472118377686,400,-0.044598602241603655,6.986063480377197,0.02000349,18.66714451313019,-17.38469717502594,1.0308082103729248,0.0003,0.2,0.23824462890625
829,42,344064,438.69,414,195.97745791000006,0.8949921131134033,410,-0.04528400111303199,8.860236167907715,0.019043965,18.351971736550333,-17.40105059146881,1.0329322814941406,0.0003,0.2,0.2312744140625
840,43,352256,417.1,419,187.8667579,0.8639584183692932,420,-0.043507849716843336,6.057579040527344,0.020485718,17.721106791496275,-17.38303487896919,1.0303155183792114,0.0003,0.2,0.23690185546875
851,44,360448,464.07,423,214.13785127,0.8814902305603027,430,-0.04128119611850707,7.114539623260498,0.01701054,20.8590754956007,-17.402319836616517,1.0333806276321411,0.0003,0.2,0.21181640625
861,45,368640,504.44,427,237.0612151,0.8308810591697693,440,-0.04223519264342031,4.099151134490967,0.021906886,15.196132561564445,-17.419846177101135,1.034221887588501,0.0003,0.2,0.2545166015625
871,46,376832,555.38,432,268.33285485,0.8711059093475342,450,-0.045434996909170876,4.615367889404297,0.02310516,12.58097972869873,-17.409786260128023,1.0328766107559204,0.0003,0.2,0.2751708984375
882,47,385024,578.57,436,287.35660076,0.8646402359008789,460,-0.04789694302380667,2.9737586975097656,0.032335512,6.423582916706801,-17.428973346948624,1.0348759889602661,0.0003,0.2,0.35223388671875
892,48,393216,611.99,440,309.06351152999997,0.810840368270874,470,-0.04356974122492829,3.314875602722168,0.026635487,7.46177278906107,-17.432700502872468,1.0349847078323364,0.0003,0.2,0.3081298828125
902,49,401408,652.76,444,335.09608724000003,0.8262042999267578,480,-0.03738445550116012,5.199875831604004,0.020304248,11.477317233383655,-17.46565998196602,1.0387524366378784,0.0003,0.2,0.24149169921875
913,50,409600,689.67,448,358.83846423,0.8220553994178772,490,-0.04310706787000527,2.0410213470458984,0.02924633,5.977330092340708,-17.48255278468132,1.040279746055603,0.0003,0.2,0.31068115234375
923,51,417792,731.9,452,389.22655522999986,0.8777436017990112,500,-0.0377039861290541,4.073470592498779,0.01796874,8.867211398482322,-17.48394168019295,1.0394099950790405,0.0003,0.2,0.21851806640625
934,52,425984,759.45,455,410.68207665999995,0.3475800156593323,510,-0.05559885051916354,1.6793451309204102,0.044927,4.389612598717212,-17.494692927598955,1.0415821075439453,0.0003,0.2,0.43765869140625
944,53,434176,809.33,459,443.88920595,0.8501847386360168,520,-0.033837632941140325,5.028866291046143,0.016833976,8.439038780331611,-17.522762697935104,1.044242262840271,0.0003,0.2,0.19285888671875
954,54,442368,823.4,463,456.71582737000006,0.8207808136940002,530,-0.042983242605259875,2.47379469871521,0.022612296,6.003217121958732,-17.557246005535127,1.0468469858169556,0.0003,0.2,0.243310546875
964,55,450560,836.56,466,468.86659041,0.7776592969894409,540,-0.037830414564086826,4.7390241622924805,0.02400733,8.10706099048257,-17.594974380731582,1.0507317781448364,0.0003,0.2,0.27298583984375
975,56,458752,846.29,470,480.04805045,0.8294579982757568,550,-0.03494199600827415,1.9568405151367188,0.020365164,7.329436554759741,-17.60640757679939,1.0507479906082153,0.0003,0.2,0.22874755859375
985,57,466944,851.18,473,487.47192289000014,0.7092070579528809,560,-0.034508455799368676,3.189788579940796,0.022848405,7.340693774819374,-17.610675835609435,1.0509916543960571,0.0003,0.2,0.24775390625
996,58,475136,841.06,476,486.39685241,0.7963225245475769,570,-0.041253556271112754,1.4716869592666626,0.02680906,4.788474747538567,-17.61384547352791,1.0518730878829956,0.0003,0.2,0.29371337890625
1007,59,483328,842.95,479,492.60457892,0.8548858165740967,580,-0.033399571951304094,2.204359531402588,0.019748177,8.571657369285822,-17.634326255321504,1.0543586015701294,0.0003,0.2,0.22445068359375
1017,60,491520,835.68,483,494.27371449000015,0.9111300706863403,590,-0.03801224510898464,2.096529245376587,0.02257799,5.473381454497575,-17.67452791929245,1.0567463636398315,0.0003,0.2,0.26954345703125
