time/total_timesteps,time/iterations,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/loss,train/std,train/entropy_loss,train/approx_kl,train/learning_rate,train/clip_range,train/value_loss,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/explained_variance
606208,74,872.98,1193,507,563.91676863,1.8475505113601685,1.0589064359664917,-17.72517728805542,0.032761656,0.0003,0.2,4.517166481912136,0.30838623046875,730,-0.04399142147231032,0.8355879783630371
614400,75,861.12,1203,510,560.8148493499999,10.516645431518555,1.0601282119750977,-17.715055495500565,0.010775901,0.0003,0.2,17.164233501255513,0.1359130859375,740,-0.02703890134143876,0.8716727495193481
622592,76,829.31,1214,512,543.57881516,5.769649505615234,1.0623713731765747,-17.739533138275146,0.01729437,0.0003,0.2,10.067912425100804,0.1998291015625,750,-0.03781058250315254,0.8935403823852539
630784,77,830.97,1224,514,548.8502109599999,3.7613203525543213,1.0634456872940063,-17.755207926034927,0.017847808,0.0003,0.2,9.32965833246708,0.20045166015625,760,-0.03932857511390466,0.9106366634368896
638976,78,819.29,1235,517,546.22991193,2.1736178398132324,1.0660349130630493,-17.780051320791245,0.035221845,0.0003,0.2,5.158740033954382,0.36298828125,770,-0.04721515002747765,0.8263853788375854
647168,79,821.52,1245,519,551.1445716500001,1.7548432350158691,1.0680681467056274,-17.80639898777008,0.022039145,0.0003,0.2,6.7123560808599,0.25498046875,780,-0.03493455828283913,0.8636634349822998
655360,80,821.46,1255,521,554.9742070699999,1.4555487632751465,1.070534110069275,-17.834597969055174,0.05011144,0.0003,0.2,3.078926009684801,0.4524169921875,790,-0.05369607690954581,0.7340344190597534
663552,81,809.83,1265,524,549.84543705,1.0878961086273193,1.0730172395706177,-17.86559977531433,0.029910346,0.0003,0.2,4.070565739274025,0.32254638671875,800,-0.04391336321787094,0.821782112121582
671744,82,836.05,1276,526,573.1537757599999,2.719413995742798,1.074605941772461,-17.877216470241546,0.014523713,0.0003,0.2,8.62811003997922,0.19063720703125,810,-0.02763123662880389,0.8754953145980835
679936,83,843.8,1286,528,580.9363102,2.1726229190826416,1.072085976600647,-17.867072689533234,0.027446665,0.0003,0.2,5.1007925815880295,0.292041015625,820,-0.04104886602508486,0.9007930159568787
688128,84,851.0,1296,530,588.2727330600001,1.0628024339675903,1.0728615522384644,-17.8535333275795,0.02653975,0.0003,0.2,4.963814033567905,0.27974853515625,830,-0.035127375018782915,0.8271352648735046
696320,85,861.2,1306,532,598.06090443,2.8659627437591553,1.074574589729309,-17.87681679725647,0.016434003,0.0003,0.2,6.2572844818234445,0.20428466796875,840,-0.03312214732868597,0.8605532646179199
704512,86,865.5,1317,534,604.3257235000001,4.212072849273682,1.0768564939498901,-17.902185720205306,0.019582327,0.0003,0.2,8.543920424580573,0.23184814453125,850,-0.03390256406200933,0.8632724285125732
712704,87,865.99,1327,536,608.26731383,6.327319622039795,1.0763475894927979,-17.91172193288803,0.015043134,0.0003,0.2,10.918907721340656,0.18341064453125,860,-0.03421698049423867,0.9222183227539062
720896,88,863.9,1337,538,609.84411254,2.846858024597168,1.0766191482543945,-17.90909011363983,0.02049272,0.0003,0.2,8.443695333600044,0.2254150390625,870,-0.03613433916762006,0.8567924499511719
729088,89,865.85,1347,540,613.0828991300001,4.320812225341797,1.0778709650039673,-17.912881046533585,0.020028912,0.0003,0.2,9.09425122141838,0.23128662109375,880,-0.032543343089491826,0.8254888653755188
737280,90,853.13,1358,542,607.9392749599999,4.749953269958496,1.0779762268066406,-17.91672828197479,0.025571737,0.0003,0.2,7.58727710917592,0.27484130859375,890,-0.03973240886989515,0.8560208678245544
745472,91,840.18,1368,544,600.9741001100001,4.703191757202148,1.07821786403656,-17.923257344961165,0.029281097,0.0003,0.2,7.577940345555544,0.31932373046875,900,-0.03608055622316897,0.8636788129806519
753664,92,834.33,1379,546,599.02608066,5.485547065734863,1.0806292295455933,-17.94557504057884,0.02063778,0.0003,0.2,10.698620644211768,0.235302734375,910,-0.03541084243624937,0.8999283909797668
761856,93,841.71,1389,548,606.9371082000001,2.7632741928100586,1.084391713142395,-17.98088681101799,0.019001741,0.0003,0.2,10.441471667587757,0.2362060546875,920,-0.034910067605233054,0.9100629687309265
770048,94,838.23,1399,550,606.66934926,1.0260802507400513,1.0850553512573242,-17.98250663280487,0.05529644,0.0003,0.2,3.677968705445528,0.477685546875,930,-0.041292852052720264,0.19200408458709717
778240,95,853.81,1409,552,620.6311497700001,2.536154270172119,1.0879347324371338,-18.026485008001327,0.036413558,0.0003,0.2,4.49386694431305,0.37357177734375,940,-0.038614928927563595,0.9001384377479553
786432,96,869.38,1419,553,635.3139811,0.8631120920181274,1.0892614126205444,-18.045238381624223,0.053181894,0.0003,0.2,2.1954112339764835,0.48616943359375,950,-0.052950287182466124,0.34997135400772095
794624,97,870.7,1430,555,638.9304259799999,0.7720483541488647,1.0906652212142944,-18.0633542239666,0.03652229,0.0003,0.2,2.6772773623466493,0.3575927734375,960,-0.05066111966953031,0.47862958908081055
802816,98,818.5,1441,557,600.7771363800001,1.2760390043258667,1.090859293937683,-18.05943841934204,0.014352452,0.0003,0.2,6.06966203674674,0.17001953125,970,-0.0271180050825933,0.7851979732513428
811008,99,835.61,1451,558,617.91734636,5.510332107543945,1.093171238899231,-18.076477813720704,0.01088394,0.0003,0.2,17.46183847337961,0.1171142578125,980,-0.024452083509095245,0.9029842019081116
819200,100,826.52,1461,560,613.0735055099999,3.013031005859375,1.097548007965088,-18.118673372268677,0.019449826,0.0003,0.2,8.918766837567091,0.20272216796875,990,-0.03425489807486883,0.8099888563156128
827392,101,854.41,1471,562,637.76917092,1.6060526371002197,1.0990418195724487,-18.153601902723313,0.024289751,0.0003,0.2,7.71585692614317,0.24259033203125,1000,-0.0313634013349656,0.8482718467712402
835584,102,848.78,1482,563,636.70948767,0.9366506338119507,1.1000410318374634,-18.16905547976494,0.053586792,0.0003,0.2,2.312862880155444,0.4759033203125,1010,-0.052472875388048124,0.34338510036468506
843776,103,852.22,1492,565,640.6292727499999,6.764554977416992,1.100516676902771,-18.16444539427757,0.011095529,0.0003,0.2,9.481116378307343,0.1427978515625,1020,-0.02419325915798254,0.8816046118736267
851968,104,850.49,1502,567,641.9690227400001,1.3800702095031738,1.1014111042022705,-18.172029972076416,0.02022509,0.0003,0.2,5.045752637833357,0.221728515625,1030,-0.03242331183719216,0.8939688205718994
860160,105,859.37,1512,568,650.4244041500001,3.093871831893921,1.102657437324524,-18.183343911170958,0.031108376,0.0003,0.2,5.371461588516832,0.293017578125,1040,-0.035064973642874975,0.8242948651313782
868352,106,831.8,1522,570,630.8033484,1.4439812898635864,1.103845238685608,-18.19643766283989,0.013700619,0.0003,0.2,6.697894415259361,0.17115478515625,1050,-0.028683781760628337,0.8925779461860657
876544,107,840.46,1533,571,638.87675147,4.580305576324463,1.1060887575149536,-18.21262703537941,0.011596253,0.0003,0.2,9.655505567789078,0.1380615234375,1060,-0.02703852944614482,0.9183186888694763
884736,108,863.69,1543,573,659.00498965,2.910889148712158,1.1090352535247803,-18.242794114351273,0.030006671,0.0003,0.2,5.669084296375513,0.29520263671875,1070,-0.034583186512463726,0.8400213122367859
892928,109,873.36,1553,574,666.6666481899999,3.971921682357788,1.110796570777893,-18.26743322610855,0.011416974,0.0003,0.2,16.387438639998436,0.15361328125,1080,-0.028452936243411386,0.8984394669532776
901120,110,853.88,1564,576,652.1826871899999,5.6839518547058105,1.1117019653320312,-18.2822265625,0.013431991,0.0003,0.2,13.987515288591386,0.1537841796875,1090,-0.029489763071615015,0.8676730394363403
909312,111,851.11,1574,577,650.42376535,6.8944244384765625,1.1152360439300537,-18.308584141731263,0.014771639,0.0003,0.2,17.20682783648372,0.1828125,1100,-0.02827541536607896,0.8947367668151855
917504,112,852.17,1585,578,652.59934529,1.7908645868301392,1.1168498992919922,-18.332966470718382,0.028457936,0.0003,0.2,6.317219933122397,0.287890625,1110,-0.03703008605443756,0.8043959140777588
925696,113,857.63,1595,580,658.22557995,3.5557684898376465,1.1180118322372437,-18.34694363474846,0.022133837,0.0003,0.2,9.055317333340644,0.2477294921875,1120,-0.03563279370719101,0.8830505609512329
933888,114,853.4,1605,581,654.9770466000001,2.589528799057007,1.1204261779785156,-18.374125063419342,0.030126145,0.0003,0.2,9.50136923789978,0.3268798828125,1130,-0.029981473731459117,0.8385925889015198
942080,115,842.57,1615,583,647.1859301599999,2.8424510955810547,1.1198095083236694,-18.367749172449113,0.041145187,0.0003,0.2,5.719309940189123,0.368017578125,1140,-0.03397502399675432,0.860945463180542
950272,116,853.43,1625,584,657.9055641199999,2.5733330249786377,1.1176714897155762,-18.35288910269737,0.024627162,0.0003,0.2,6.6851999334990975,0.2993896484375,1150,-0.0343176717942697,0.8396579623222351
958464,117,852.81,1635,586,658.3161093399999,0.9853112697601318,1.1207557916641235,-18.379819250106813,0.056390982,0.0003,0.2,3.119601299241185,0.44188232421875,1160,-0.031284679053351284,0.8340508341789246
966656,118,861.16,1646,587,667.0046364300001,5.2402544021606445,1.1209890842437744,-18.385906928777693,0.020046674,0.0003,0.2,9.581472383439541,0.23331298828125,1170,-0.026760925665439573,0.870011568069458
974848,119,863.95,1656,588,670.8401650699998,6.0837721824646,1.1244696378707886,-18.409412598609926,0.014026679,0.0003,0.2,11.671275992691516,0.1787353515625,1180,-0.031245196768577444,0.9127617478370667
983040,120,867.05,1666,589,674.6063633200001,2.0335707664489746,1.1305490732192993,-18.46753881573677,0.04462129,0.0003,0.2,7.206295513734221,0.36160888671875,1190,-0.02599575061321957,0.8068585395812988
991232,121,870.11,1676,591,678.06076688,3.1962661743164062,1.133155345916748,-18.5009465277195,0.016683778,0.0003,0.2,9.412495241314172,0.21483154296875,1200,-0.034863575146300715,0.8985534310340881
999424,122,864.84,1687,592,674.91443755,4.1872382164001465,1.1369901895523071,-18.542659854888917,0.023190591,0.0003,0.2,8.544806151837111,0.2617431640625,1210,-0.03426411390391877,0.8815699815750122
1007616,123,869.57,1697,593,679.03201594,1.668534278869629,1.139068603515625,-18.571625369787217,0.039488647,0.0003,0.2,7.306144599616528,0.3743408203125,1220,-0.028317616874846862,0.8950234651565552
1015808,124,883.35,1707,595,690.8954349499999,3.3561911582946777,1.1421903371810913,-18.594099885225297,0.026341321,0.0003,0.2,11.187851302325726,0.29095458984375,1230,-0.03167096692050109,0.9129869341850281
1024000,125,871.04,1717,596,683.08238157,3.9651238918304443,1.1455525159835815,-18.631777125597,0.032242257,0.0003,0.2,7.961092558503151,0.3255615234375,1240,-0.032287673639075365,0.8128553032875061
1032192,126,843.32,1728,597,660.9972400700003,7.249837875366211,1.146279215812683,-18.64251247048378,0.015728645,0.0003,0.2,13.593039792776107,0.21024169921875,1250,-0.03316161106049549,0.8941855430603027
1040384,127,852.42,1737,598,669.35692704,7.67554235458374,1.1481252908706665,-18.66009700894356,0.014378295,0.0003,0.2,22.242673140764236,0.17685546875,1260,-0.03378718978783581,0.8923128247261047
1048576,128,867.26,1747,599,683.0861755799998,3.493030071258545,1.1497939825057983,-18.676919335126875,0.03509168,0.0003,0.2,6.08758209720254,0.3638427734375,1270,-0.038765843313376534,0.9313362240791321
1056768,129,867.7,1758,601,682.67349379,0.5118834972381592,1.1548303365707397,-18.721145951747893,0.06875457,0.0003,0.2,2.422884280979633,0.5559326171875,1280,-0.04291000679804711,0.3844413757324219
1064960,130,867.62,1768,602,682.0471058599999,2.211808443069458,1.1556880474090576,-18.74472640156746,0.017769018,0.0003,0.2,7.083688524365425,0.21131591796875,1290,-0.028618946186907124,0.8763601779937744
1073152,131,870.08,1778,603,685.9904814099999,0.9770562648773193,1.1571662425994873,-18.75905885696411,0.032477967,0.0003,0.2,3.4750277165323498,0.3041015625,1300,-0.036079165402770744,0.9137535095214844
1081344,132,868.67,1788,604,683.7292110299999,6.901679515838623,1.1593838930130005,-18.772581255435945,0.011421382,0.0003,0.2,15.50972564071417,0.14808349609375,1310,-0.028129571960744216,0.8773503303527832
1089536,133,877.51,1798,605,690.6319724599999,3.845856189727783,1.1602846384048462,-18.794334304332732,0.014024146,0.0003,0.2,13.130760781466961,0.17138671875,1320,-0.03330522697724518,0.8827466368675232
1097728,134,880.19,1808,606,693.3959462100001,1.6590296030044556,1.1618210077285767,-18.797904247045516,0.03339023,0.0003,0.2,6.87096519395709,0.34752197265625,1330,-0.034347834616346516,0.8559817671775818
1105920,135,869.01,1819,607,684.6265768600002,1.8785452842712402,1.1622498035430908,-18.816807293891905,0.028853878,0.0003,0.2,7.146967821568251,0.30340576171875,1340,-0.037096824671607465,0.9230383634567261
1114112,136,877.84,1829,609,692.80295139,1.1851311922073364,1.1641134023666382,-18.81971079707146,0.032365967,0.0003,0.2,4.334438362717629,0.3252197265625,1350,-0.03201748356077587,0.9070950746536255
1122304,137,893.7,1839,610,706.15584845,9.132948875427246,1.1687475442886353,-18.853762316703797,0.03666352,0.0003,0.2,9.454330210387706,0.353466796875,1360,-0.026190575444707064,0.8272734880447388
1130496,138,889.72,1849,611,703.90249588,11.770540237426758,1.1722334623336792,-18.89787911772728,0.015370119,0.0003,0.2,17.12475228533149,0.17794189453125,1370,-0.027209437197598163,0.871957540512085
1138688,139,888.06,1859,612,702.4007807200001,1.075023889541626,1.181045413017273,-18.969288516044617,0.042967804,0.0003,0.2,3.828277263790369,0.41669921875,1380,-0.04219616483896971,0.9037555456161499
1146880,140,885.15,1869,613,702.0009883800001,2.493434190750122,1.1852445602416992,-19.023531448841094,0.025891585,0.0003,0.2,7.2548269428312775,0.29063720703125,1390,-0.02898656237812247,0.8805056214332581
1155072,141,873.01,1880,614,693.5209092500002,1.0623090267181396,1.1863605976104736,-19.04463920593262,0.03715755,0.0003,0.2,4.124104192480445,0.3756591796875,1400,-0.03351285997487139,0.8430992960929871
1163264,142,874.52,1890,615,693.7960296400001,1.0504708290100098,1.1854077577590942,-19.050274753570555,0.023040228,0.0003,0.2,5.9242555417120455,0.26630859375,1410,-0.031382598348136524,0.9004144668579102
1171456,143,866.63,1900,616,688.66918246,4.878664493560791,1.1880933046340942,-19.057247984409333,0.013370942,0.0003,0.2,15.522259679436683,0.1684814453125,1420,-0.028075347206322477,0.9215356111526489
1179648,144,870.07,1910,617,692.91767609,6.238924503326416,1.1897474527359009,-19.079590207338335,0.01579807,0.0003,0.2,17.243942503631114,0.1822021484375,1430,-0.03197245344490511,0.8413238525390625
1187840,145,881.94,1921,618,704.32620309,1.8558632135391235,1.1970248222351074,-19.13151385784149,0.039363552,0.0003,0.2,8.443110043555498,0.36837158203125,1440,-0.028952047047641826,0.2045440673828125
1196032,146,876.75,1931,619,699.65675586,0.4546380043029785,1.208156704902649,-19.256791478395463,0.072132155,0.0003,0.2,2.3122532524168493,0.57744140625,1450,-0.04579107428435236,0.091957688331604
