time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,train/policy_gradient_loss,train/n_updates,train/clip_range,train/clip_fraction,train/explained_variance,train/learning_rate,train/value_loss,train/approx_kl,train/std,train/entropy_loss,train/loss
753664,526.93712692,1423,742.11,529,92,-0.0377787759018247,910,0.2,0.23359375,0.8939537405967712,0.0003,16.670299944281577,0.018129017,1.0833699703216553,-17.961954152584077,4.906185150146484
761856,532.2916662099999,1433,746.31,531,93,-0.04245169409659866,920,0.2,0.2975830078125,0.890643298625946,0.0003,10.454321767389775,0.026338365,1.0819125175476074,-17.957570695877074,8.22319221496582
770048,539.08008058,1444,753.69,533,94,-0.03734534785253345,930,0.2,0.4051025390625,0.8646761178970337,0.0003,6.537865491211415,0.047653813,1.0849946737289429,-17.980185574293138,1.8208202123641968
778240,533.33272737,1454,744.62,534,95,-0.03755945977463852,940,0.2,0.255615234375,0.8960147500038147,0.0003,10.205520184338093,0.020875296,1.0861037969589233,-17.99992728829384,3.068049669265747
786432,543.81993009,1465,756.06,536,96,-0.03502693169248232,950,0.2,0.2638916015625,0.834434449672699,0.0003,11.329210262000561,0.025640853,1.088113784790039,-18.01929279565811,2.0394248962402344
794624,557.53340724,1475,773.82,538,97,-0.032418424629577204,960,0.2,0.416943359375,0.8467465043067932,0.0003,6.409319841861725,0.045195907,1.0918115377426147,-18.05154823064804,2.1900579929351807
802816,578.22935947,1485,798.35,540,98,-0.037390846709604374,970,0.2,0.3049560546875,0.7461518049240112,0.0003,7.4868855707347395,0.03172732,1.095267415046692,-18.086257302761076,2.0110690593719482
811008,579.6043159,1496,799.01,541,99,-0.03653158151646494,980,0.2,0.37120361328125,0.907133936882019,0.0003,5.090192604064941,0.03266287,1.0962339639663696,-18.10494847893715,3.2371604442596436
819200,595.36112817,1507,816.59,543,100,-0.0313475801362074,990,0.2,0.3529541015625,0.8629980683326721,0.0003,8.903651048243045,0.02760979,1.0969665050506592,-18.116601687669753,4.269284725189209
827392,580.7634153,1517,795.22,545,101,-0.03297776956496819,1000,0.2,0.1940673828125,0.9042815566062927,0.0003,13.922181561589241,0.016422018,1.0992889404296875,-18.13695244193077,8.581246376037598
835584,578.87569366,1527,792.84,546,102,-0.036043019621865825,1010,0.2,0.19554443359375,0.8939974308013916,0.0003,16.45452448576689,0.015380884,1.1017760038375854,-18.166883409023285,8.225025177001953
843776,578.47191729,1537,789.52,548,103,-0.033613884394799246,1020,0.2,0.2166259765625,0.8614063262939453,0.0003,16.06527083069086,0.018939743,1.1035064458847046,-18.18339785337448,8.809225082397461
851968,595.17502407,1548,808.46,550,104,-0.036859996612474785,1030,0.2,0.39891357421875,0.7752972841262817,0.0003,6.856893585622311,0.04433506,1.108530879020691,-18.225089985132218,2.7054975032806396
860160,598.60097998,1558,809.83,551,105,-0.03799741946713766,1040,0.2,0.312890625,0.9095902442932129,0.0003,5.723629339039325,0.032226186,1.1106756925582886,-18.261181890964508,1.8602237701416016
868352,598.3910185500001,1568,806.63,553,106,-0.03043538599231397,1050,0.2,0.415380859375,0.8906506299972534,0.0003,5.397523244470358,0.045896105,1.1153351068496704,-18.297147631645203,1.9437177181243896
876544,575.48318736,1579,775.42,555,107,-0.030425313118030317,1060,0.2,0.2551025390625,0.8570559024810791,0.0003,9.765146731585265,0.018935774,1.1168911457061768,-18.32575031518936,4.139107704162598
884736,563.6195568500001,1589,758.07,556,108,-0.032191307764151134,1070,0.2,0.16865234375,0.8847694396972656,0.0003,27.56064787209034,0.012838276,1.118441104888916,-18.345234882831573,8.152154922485352
892928,559.99520157,1599,753.31,558,109,-0.03336167723045946,1080,0.2,0.184765625,0.8838291764259338,0.0003,19.288537289202214,0.015169908,1.1193550825119019,-18.361732298135756,10.533269882202148
901120,583.6032258800001,1609,781.13,559,110,-0.03321437002741732,1090,0.2,0.32825927734375,0.9063131213188171,0.0003,9.264574705809355,0.031764854,1.1188899278640747,-18.362683033943178,1.8019299507141113
909312,595.5921734799999,1619,793.94,561,111,-0.034222048094670755,1100,0.2,0.2037109375,0.8425177931785583,0.0003,16.439871735870838,0.018204376,1.1210283041000366,-18.370977717638016,8.281136512756348
917504,584.94773938,1629,777.34,562,112,-0.036290563287911935,1110,0.2,0.27303466796875,0.8477075695991516,0.0003,18.199913251399995,0.02299076,1.1241189241409302,-18.39425710439682,4.757401466369629
925696,588.40895141,1639,780.91,564,113,-0.034679834642156494,1120,0.2,0.2708740234375,0.8875829577445984,0.0003,16.798173849284648,0.021958016,1.1252700090408325,-18.416965210437773,8.495612144470215
933888,585.0944746299999,1650,774.46,565,114,-0.03254394382674945,1130,0.2,0.27890625,0.793164849281311,0.0003,12.44053556919098,0.026839713,1.1264439821243286,-18.427948027849197,6.399653434753418
942080,592.86573768,1659,783.19,567,115,-0.022063612886267948,1140,0.2,0.53851318359375,0.7867060303688049,0.0003,11.612551114708186,0.063780464,1.137378454208374,-18.51266915202141,1.6175256967544556
950272,606.5958370099999,1669,799.71,569,116,-0.03087285927904304,1150,0.2,0.48909912109375,0.8326163291931152,0.0003,3.082735988497734,0.06151095,1.1412750482559204,-18.572652298212052,0.996638298034668
958464,635.70415192,1679,833.41,570,117,-0.03493709825488622,1160,0.2,0.33204345703125,0.8401352167129517,0.0003,4.50006660670042,0.034585435,1.1452912092208862,-18.619798678159714,1.6734951734542847
966656,651.44423795,1689,850.48,572,118,-0.03174312065530103,1170,0.2,0.3815185546875,0.8163788914680481,0.0003,3.884211486950517,0.040847745,1.1470669507980347,-18.64636378288269,1.434847116470337
974848,657.6591412,1700,855.44,573,119,-0.03773737449009786,1180,0.2,0.30509033203125,0.8476842641830444,0.0003,3.9034236572682857,0.029318875,1.152328372001648,-18.686419278383255,1.337477207183838
983040,648.24293662,1709,843.02,574,120,-0.02716535661893431,1190,0.2,0.1748779296875,0.8506075143814087,0.0003,14.223057132214308,0.012841133,1.154125690460205,-18.718689823150633,8.868612289428711
991232,615.04045045,1730,801.31,572,121,-0.026742046705476242,1200,0.2,0.12576904296875,0.8572523593902588,0.0003,19.94288652539253,0.010592809,1.1575123071670532,-18.744607108831406,8.391801834106445
999424,636.6977538199999,1749,825.78,571,122,-0.0256533416788443,1210,0.2,0.0930908203125,0.9002627730369568,0.0003,29.82997663319111,0.009227612,1.1582144498825073,-18.763825410604476,13.712403297424316
1007616,635.8762172900001,1768,824.42,569,123,-0.0355875001372624,1220,0.2,0.2033447265625,0.9047447443008423,0.0003,12.998653328418731,0.018008796,1.159955382347107,-18.780579268932343,7.809741020202637
1015808,644.4077472900001,1788,835.53,568,124,-0.03560390218408429,1230,0.2,0.18541259765625,0.8142628073692322,0.0003,14.865172189474105,0.016134448,1.1644086837768555,-18.80953233242035,4.072122097015381
1024000,643.76964548,1806,834.44,566,125,-0.03011514268218889,1240,0.2,0.2761474609375,0.8318240642547607,0.0003,10.082999228686095,0.026548363,1.1681488752365112,-18.847602719068526,1.4917006492614746
1032192,642.01649221,1824,830.36,565,126,-0.03356193488070858,1250,0.2,0.29066162109375,0.8183432221412659,0.0003,10.337367565184831,0.028232511,1.170737385749817,-18.879730451107026,4.2007975578308105
1040384,608.6879514,1843,789.43,564,127,-0.03582711244671373,1260,0.2,0.41988525390625,0.8349326848983765,0.0003,4.160250211507082,0.05267094,1.1745356321334839,-18.927080076932906,1.324357032775879
1048576,607.13982528,1862,787.24,563,128,-0.028424509210162797,1270,0.2,0.18428955078125,0.8877941966056824,0.0003,20.45597749054432,0.0124605,1.1780840158462524,-18.952192068099976,9.848655700683594
1056768,610.5828717700001,1880,791.86,562,129,-0.02946982621724601,1280,0.2,0.3263427734375,0.8515684604644775,0.0003,12.785804660618306,0.045026816,1.18317449092865,-18.998524111509322,6.966975688934326
1064960,609.01152412,1898,788.62,560,130,-0.03215642754439614,1290,0.2,0.20574951171875,0.8783046007156372,0.0003,13.697196799516679,0.018236471,1.1892297267913818,-19.058716422319414,3.414984941482544
1073152,639.0068404299999,1916,824.51,559,131,-0.03621254330937518,1300,0.2,0.27427978515625,0.8883551359176636,0.0003,8.014363890141249,0.025816392,1.1902419328689575,-19.087730979919435,2.535688877105713
