time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,train/policy_gradient_loss,train/n_updates,train/clip_range,train/clip_fraction,train/explained_variance,train/learning_rate,train/value_loss,train/approx_kl,train/std,train/entropy_loss,train/loss
344064,196.52151021999995,823,445.85,417,42,-0.04494498541171197,410,0.2,0.25928955078125,0.8578975200653076,0.0003,15.613343971967698,0.021650147,1.0189570188522339,-17.23427682518959,8.009572982788086
352256,199.99568373000002,834,451.99,422,43,-0.04333303685853025,420,0.2,0.23802490234375,0.8428313136100769,0.0003,15.768710446357726,0.019011978,1.020917296409607,-17.258960926532744,5.944435119628906
360448,212.43964276,845,471.55,426,44,-0.04309441335644806,430,0.2,0.2304931640625,0.8561296463012695,0.0003,16.86599823832512,0.019001942,1.0220195055007935,-17.279905372858046,7.407680988311768
368640,238.90722814999998,855,516.08,430,45,-0.04344585381186335,440,0.2,0.23919677734375,0.8533915877342224,0.0003,14.661581352353096,0.021825492,1.0215554237365723,-17.27730221748352,5.7734246253967285
376832,261.38517109,865,552.21,435,46,-0.043339865519374146,450,0.2,0.248828125,0.8666394948959351,0.0003,15.918621137738228,0.020303087,1.0223727226257324,-17.284756767749787,7.191944599151611
385024,293.57506742000004,876,609.14,439,47,-0.0446083813381847,460,0.2,0.2949462890625,0.7844585180282593,0.0003,10.52074059844017,0.025015663,1.0235093832015991,-17.30157026052475,5.743483543395996
393216,318.46123946,887,649.24,443,48,-0.04713706947150058,470,0.2,0.3241943359375,0.8109186291694641,0.0003,8.79041105210781,0.0305254,1.0248618125915527,-17.305201691389083,3.9934260845184326
401408,341.58849299999997,898,685.12,447,49,-0.04268685145798372,480,0.2,0.29925537109375,0.8403943777084351,0.0003,9.535172700881958,0.028035972,1.0276514291763306,-17.3319615483284,5.033788681030273
409600,352.64917442,908,701.23,450,50,-0.04481397510608076,490,0.2,0.320849609375,0.7661925554275513,0.0003,8.451466675847769,0.027736,1.0286000967025757,-17.348516017198563,2.499161720275879
417792,370.3775542200001,918,725.78,454,51,-0.039953714366129135,500,0.2,0.24317626953125,0.8499082922935486,0.0003,9.195857234299183,0.021172486,1.0312918424606323,-17.37825200557709,3.045440435409546
