time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/iterations,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/approx_kl,train/value_loss,train/loss,train/std,train/n_updates,train/learning_rate,train/clip_range,train/explained_variance
143,125.9,36.57065982,1773,253952,31,-0.04506682849751087,-17.22778215408325,0.21368408203125,0.018319733,15.131751954555511,7.7176923751831055,1.0174453258514404,300,0.0003,0.2,0.8768020272254944
143,129.36,38.81774084,1820,262144,32,-0.04495977571423282,-17.242596834897995,0.2277587890625,0.019239329,14.322462537884713,6.059591293334961,1.018532156944275,310,0.0003,0.2,0.8885049223899841
144,144.82,47.120851359999996,1864,270336,33,-0.042565957410261035,-17.264220279455184,0.1991455078125,0.016788863,15.95362530350685,6.116759300231934,1.0208344459533691,320,0.0003,0.2,0.8858602643013
146,168.55,59.04802719,1906,278528,34,-0.04425601506154635,-17.280663681030273,0.20947265625,0.01734773,16.66245320737362,8.428753852844238,1.0215641260147095,330,0.0003,0.2,0.8790779113769531
147,187.53,66.86615403,1943,286720,35,-0.04242842574094539,-17.285933870077134,0.19169921875,0.016704421,21.467636540532112,7.859256267547607,1.022971749305725,340,0.0003,0.2,0.8671627640724182
148,191.02,67.53311342,1983,294912,36,-0.04549352318936144,-17.307596987485887,0.2178955078125,0.018578809,16.3302940428257,6.290262222290039,1.0244972705841064,350,0.0003,0.2,0.8733178973197937
149,188.86,69.33199968,2024,303104,37,-0.04584543460368877,-17.313743817806245,0.22578125,0.018383496,18.990460765361785,9.106547355651855,1.0251063108444214,360,0.0003,0.2,0.8846800327301025
151,217.8,82.73826337,2054,311296,38,-0.045787670323625206,-17.323724234104155,0.222900390625,0.018692423,16.741545474529268,8.35202693939209,1.025204062461853,370,0.0003,0.2,0.8992234468460083
152,230.58,90.83498082,2092,319488,39,-0.048138520171050914,-17.33441995382309,0.24461669921875,0.02183142,15.684233221411706,8.060544967651367,1.0268641710281372,380,0.0003,0.2,0.885682225227356
154,275.91,111.40309732,2125,327680,40,-0.04165043553439318,-17.334784418344498,0.20966796875,0.017434444,21.984319993853568,10.538124084472656,1.0262008905410767,390,0.0003,0.2,0.8858514428138733
