time/fps,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/iterations,train/explained_variance,train/n_updates,train/std,train/value_loss,train/loss,train/approx_kl,train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/clip_fraction,train/clip_range
490,524288,797.92,1068,473.31593353000005,64,0.9217606782913208,630,1.0553064346313477,5.360345461964608,1.6456700563430786,0.027248789,0.0003,-17.66152814626694,-0.041828833036561264,0.286328125,0.2
493,532480,807.17,1078,483.47971326,65,0.8378651738166809,640,1.0583323240280151,8.368424425274133,3.5790841579437256,0.021474034,0.0003,-17.682016015052795,-0.03909880202118075,0.2685546875,0.2
496,540672,823.18,1088,499.78856419,66,0.2665679454803467,650,1.060051679611206,3.0360079281032086,1.5084336996078491,0.05367388,0.0003,-17.705920660495757,-0.052762941815308294,0.4891845703125,0.2
499,548864,824.45,1099,507.7616355999999,67,0.8723698854446411,660,1.0623732805252075,7.068697506934404,3.3743069171905518,0.015195701,0.0003,-17.730235248804092,-0.03137413405784173,0.18865966796875,0.2
502,557056,829.0,1109,513.4047973600001,68,0.9097248315811157,670,1.0629075765609741,7.596374081075192,2.824019432067871,0.015351998,0.0003,-17.746606612205504,-0.03681206899054814,0.184033203125,0.2
504,565248,832.78,1119,521.12344404,69,0.8651419281959534,680,1.0658023357391357,8.388456249982118,4.586047649383545,0.018439589,0.0003,-17.76234942674637,-0.03277651799362502,0.2068115234375,0.2
507,573440,841.27,1129,530.24301117,70,0.7880846261978149,690,1.0682255029678345,5.0283216625452045,1.236351728439331,0.025888044,0.0003,-17.797450590133668,-0.04190509347245097,0.2888671875,0.2
510,581632,836.61,1139,533.81777613,71,0.8329170346260071,700,1.0696157217025757,7.067417825758457,4.345674514770508,0.018017616,0.0003,-17.81999980211258,-0.030952085984608857,0.21241455078125,0.2
512,589824,835.47,1150,537.3429043399999,72,0.8721402883529663,710,1.0690523386001587,10.972010877728462,4.32676887512207,0.01369059,0.0003,-17.812996286153794,-0.034289804821310096,0.16190185546875,0.2
515,598016,831.92,1160,539.4460440999999,73,0.8754569292068481,720,1.0708527565002441,6.928878138959408,5.3360443115234375,0.027212236,0.0003,-17.832025438547134,-0.03617451325844741,0.26676025390625,0.2
517,606208,843.87,1170,550.9459394600001,74,0.9030618667602539,730,1.0739662647247314,8.024355725944043,3.4751057624816895,0.02621166,0.0003,-17.856929898262024,-0.0351874132611556,0.24183349609375,0.2
520,614400,808.58,1181,530.0247419499999,75,0.8092051148414612,740,1.0769208669662476,6.945003922283649,2.4288458824157715,0.028554916,0.0003,-17.89045107960701,-0.040872846204729286,0.296533203125,0.2
522,622592,805.23,1191,530.7508644100001,76,0.865189254283905,750,1.0775580406188965,14.516124391555786,4.819895267486572,0.01481583,0.0003,-17.91198096871376,-0.03253871907836583,0.17891845703125,0.2
524,630784,809.82,1201,536.1772912299999,77,0.8719921112060547,760,1.080093502998352,14.817162610590458,6.379571914672852,0.013738167,0.0003,-17.929395097494126,-0.0318496201907692,0.165478515625,0.2
526,638976,809.36,1212,540.2192575100001,78,0.8812887668609619,770,1.0829925537109375,9.173017769306899,4.370883464813232,0.020410988,0.0003,-17.957180684804918,-0.03727385039237561,0.25626220703125,0.2
529,647168,781.82,1223,522.8760077500001,79,0.893663763999939,780,1.0845011472702026,9.697987999022008,4.124997615814209,0.017842166,0.0003,-17.9812390267849,-0.036723077296483095,0.205908203125,0.2
531,655360,792.67,1233,532.25545779,80,0.8981130719184875,790,1.0848875045776367,19.110261663794518,8.11517333984375,0.015276946,0.0003,-17.98952674269676,-0.035610512817947894,0.17730712890625,0.2
