time/time_elapsed,rollout/ep_len_mean,time/fps,time/total_timesteps,rollout/ep_rew_mean,time/iterations,train/explained_variance,train/clip_range,train/learning_rate,train/entropy_loss,train/approx_kl,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/loss,train/value_loss,train/std
931,756.83,457,425984,373.54972373000004,52,0.8722302317619324,0.2,0.0003,-17.432784920930864,0.023156907,0.2720703125,510,-0.043582310414058155,3.177980422973633,10.321190372109413,1.0362054109573364
942,790.47,460,434176,397.00068722,53,0.7116762399673462,0.2,0.0003,-17.45758649110794,0.03579714,0.350439453125,520,-0.046094625283149074,2.8720977306365967,5.628487400710583,1.0388957262039185
952,781.68,464,442368,397.53427952999994,54,0.8547521829605103,0.2,0.0003,-17.48176594376564,0.023711948,0.27518310546875,530,-0.04247524383499694,2.1318130493164062,6.643153167515993,1.040671706199646
962,784.92,468,450560,406.79369239000005,55,0.8652021884918213,0.2,0.0003,-17.507741463184356,0.02244636,0.259912109375,540,-0.0415644453940331,2.5114121437072754,8.140056711435317,1.0431727170944214
972,787.55,471,458752,413.10205573,56,0.892281174659729,0.2,0.0003,-17.520853573083876,0.018957788,0.219775390625,550,-0.042328218963666585,6.165739059448242,10.071579447388649,1.0438830852508545
983,822.79,474,466944,437.8533637499999,57,0.8098922371864319,0.2,0.0003,-17.530014830827714,0.018001366,0.2236328125,560,-0.03985160173106124,3.427518844604492,12.947008235752582,1.0447641611099243
993,850.93,478,475136,460.8992904499999,58,0.8037076592445374,0.2,0.0003,-17.52868769168854,0.029892467,0.31575927734375,570,-0.04368136097036768,5.108194828033447,7.744768817722798,1.0449646711349487
1004,860.15,481,483328,473.74995071000006,59,0.8356039524078369,0.2,0.0003,-17.57667115330696,0.03680712,0.3775634765625,580,-0.04481583962624427,1.9474220275878906,4.856020271778107,1.0496801137924194
1014,855.98,484,491520,477.80949175999996,60,0.684899091720581,0.2,0.0003,-17.598615032434463,0.024269208,0.2774169921875,590,-0.039896266230061886,1.8900080919265747,5.631258976459503,1.0508157014846802
1024,865.66,487,499712,487.6038141,61,0.8440067768096924,0.2,0.0003,-17.613527232408522,0.024481747,0.27320556640625,600,-0.04047754077619174,3.418416738510132,6.811486169695854,1.051958441734314
1034,857.16,490,507904,486.7635614,62,0.6851725578308105,0.2,0.0003,-17.63292459845543,0.03458032,0.3718017578125,610,-0.04261320055957185,2.270385980606079,4.845312850177288,1.0539236068725586
1044,861.77,494,516096,495.3455896400001,63,0.8656938672065735,0.2,0.0003,-17.642763942480087,0.022940304,0.24146728515625,620,-0.041820056104916146,1.4666497707366943,5.634060449898243,1.05445396900177
1055,854.07,496,524288,495.76584434999995,64,0.7880740761756897,0.2,0.0003,-17.658866333961488,0.02890931,0.30325927734375,630,-0.04405844085122226,1.8313719034194946,5.255560836941004,1.0560835599899292
1065,837.76,499,532480,492.15461951000003,65,0.8685289621353149,0.2,0.0003,-17.66777808070183,0.011675897,0.14483642578125,640,-0.03149112833489198,7.890801906585693,12.632872521877289,1.057753562927246
1076,830.66,502,540672,493.89829276000006,66,0.8706219792366028,0.2,0.0003,-17.68838726878166,0.018758707,0.22005615234375,650,-0.03819391048091347,2.1203181743621826,9.283716543018818,1.058766484260559
1086,834.38,505,548864,502.41877075,67,0.887500524520874,0.2,0.0003,-17.708839684724808,0.015626118,0.1812255859375,660,-0.03574328246249934,3.826364755630493,10.051204073429108,1.0611213445663452
1096,837.82,507,557056,510.14891579999994,68,0.7468771934509277,0.2,0.0003,-17.738306993246077,0.032388933,0.3259033203125,670,-0.044107556308881614,2.4208126068115234,5.537975047528744,1.0638086795806885
1107,809.33,510,565248,496.7150051299999,69,0.30696576833724976,0.2,0.0003,-17.781322795152665,0.045176066,0.43446044921875,680,-0.05530186477699317,1.7796355485916138,3.8816662885248663,1.0675753355026245
1117,826.91,513,573440,511.89648444,70,0.8499088287353516,0.2,0.0003,-17.808377408981322,0.013259274,0.173193359375,690,-0.03042922665918013,2.7799904346466064,9.143844747543335,1.0706652402877808
1127,812.13,515,581632,508.06842430000006,71,0.37894725799560547,0.2,0.0003,-17.83094254732132,0.035561554,0.36612548828125,700,-0.05424881195795024,1.6455496549606323,4.081028410047293,1.0715996026992798
1138,792.42,518,589824,501.4754510500001,72,0.8293669819831848,0.2,0.0003,-17.849173402786256,0.015004155,0.1797119140625,710,-0.03104822973473347,2.4090495109558105,7.514725267142057,1.0735353231430054
1148,785.76,520,598016,499.94616995999996,73,0.8677590489387512,0.2,0.0003,-17.86820085644722,0.015651008,0.1794677734375,720,-0.03190036637024605,1.9996353387832642,6.389448500424623,1.0754235982894897
1158,781.93,523,606208,501.62383909,74,0.9051913619041443,0.2,0.0003,-17.887644135951994,0.010002173,0.12249755859375,730,-0.029287193277559707,10.139719009399414,16.389129815995695,1.077582597732544
1169,759.8,525,614400,491.98590563,75,0.8903038501739502,0.2,0.0003,-17.89701886177063,0.014371052,0.17630615234375,740,-0.033608493652718605,4.008569717407227,10.070106191933155,1.0772367715835571
1179,781.01,527,622592,508.26652897,76,0.8913928866386414,0.2,0.0003,-17.899060130119324,0.011335914,0.14300537109375,750,-0.03205809960927582,7.353318691253662,19.09624658972025,1.0776660442352295
1189,773.35,530,630784,506.65924947999997,77,0.6845229268074036,0.2,0.0003,-17.897065299749375,0.038092267,0.377099609375,760,-0.04354182267998112,3.3326339721679688,5.520245903730393,1.0774625539779663
1200,774.44,532,638976,509.01530153000004,78,0.7789332270622253,0.2,0.0003,-17.91032795906067,0.034525327,0.34638671875,770,-0.03943315797223477,3.3952155113220215,5.708355846256017,1.0789074897766113
1210,782.32,534,647168,517.1585343099999,79,0.8813658356666565,0.2,0.0003,-17.930894082784654,0.017695442,0.1901611328125,780,-0.03036664500250481,1.524458885192871,8.670282497256995,1.0810729265213013
1221,765.35,536,655360,507.07403724999995,80,0.8703222274780273,0.2,0.0003,-17.957873970270157,0.027159119,0.29134521484375,790,-0.03741510947802453,1.786501407623291,6.517340088635683,1.0832611322402954
1231,781.69,538,663552,518.544102,81,0.8759555816650391,0.2,0.0003,-17.973904633522032,0.016504,0.18551025390625,800,-0.031873262028602765,2.3343894481658936,8.699862646311521,1.084502935409546
1241,765.33,541,671744,508.68121686,82,0.8866957426071167,0.2,0.0003,-17.973768746852876,0.014075447,0.16585693359375,810,-0.03227067395637277,6.413627624511719,13.101023933291435,1.0842736959457397
1251,788.85,543,679936,527.3184682100001,83,0.88141268491745,0.2,0.0003,-17.979240041971206,0.014104205,0.169921875,820,-0.03319311758677941,8.220208168029785,21.767199663817884,1.0850781202316284
1262,810.66,545,688128,544.35034241,84,0.8878405690193176,0.2,0.0003,-17.982152384519576,0.019995201,0.20887451171875,830,-0.033595317727304064,3.0183446407318115,10.889119721204043,1.0849360227584839
1272,808.67,547,696320,545.28327128,85,0.8716208934783936,0.2,0.0003,-18.00335921049118,0.018583715,0.23031005859375,840,-0.036299344144936185,6.843410491943359,14.360032533109187,1.08724844455719
1282,799.08,549,704512,541.3191167599999,86,0.8777607083320618,0.2,0.0003,-18.010859870910643,0.01897984,0.2270263671875,850,-0.03652137180324644,3.617790699005127,11.360393317043782,1.0876070261001587
1292,805.08,551,712704,548.36512806,87,0.7370970249176025,0.2,0.0003,-18.071415418386458,0.047002852,0.4221435546875,860,-0.04295801353728166,1.8498585224151611,6.312328397482633,1.0946577787399292
1302,805.75,553,720896,551.7042930499999,88,0.7732099890708923,0.2,0.0003,-18.103776222467424,0.04040046,0.38551025390625,870,-0.0355749595182715,2.0785317420959473,6.064577076584101,1.096725583076477
1313,812.96,555,729088,558.7220954,89,0.8583600521087646,0.2,0.0003,-18.14081452488899,0.042373434,0.36719970703125,880,-0.03246524807473179,1.2031769752502441,4.839939873665571,1.0991946458816528
